user_id,email,username,password_hash,first_name,last_name,date_of_birth,country,created_at,is_active
1,mason.johnson1@hotmail.com,masonjoh1,0b14d501a594442a01c6859541bcb3e8164d183d32937b851835442f69d5c94e,Mason,Johnson,1976-04-05,Portugal,2020-11-14 10:35:38,True
2,carlos.williams2@gmail.com,carloswil2,6cf615d5bcaac778352a8f1f3360d23f02f34ec182e259897fd6ce485d7870d4,Carlos,Williams,1980-06-08,Denmark,2025-02-13 09:46:12,True
3,elizabeth.rivera3@icloud.com,elizabethriv3,5906ac361a137e2d286465cd6588ebb5ac3f5ae955001100bc41577c3d751764,Elizabeth,Rivera,1990-02-24,Switzerland,2022-05-14 07:24:09,True
4,henry.hall4@outlook.com,henryhal349,b97873a40f73abedd8d685a7cd5e5f85e4a9cfb83eac26886640a0813850122b,Henry,Hall,1976-12-22,Spain,2022-11-11 18:18:31,True
5,mia.harris5@gmail.com,miahar368,8b2c86ea9cf2ea4eb517fd1e06b74f399e7fec0fef92e3b482a6cf2e2b092023,Mia,Harris,1997-01-30,Japan,2020-05-14 23:53:58,False
6,kenji.davis6@outlook.com,kenjidav_fan,598a1a400c1dfdf36974e69d7e1bc98593f2e15015eed8e9b7e47a83b31693d5,Kenji,Davis,1983-02-25,Ireland,2025-04-05 16:10:31,True
7,jack.rivera7@gmail.com,jackriv7,5860836e8f13fc9837539a597d4086bfc0299e54ad92148d54538b5c3feefb7c,Jack,Rivera,2004-09-04,South Korea,2020-09-04 21:43:15,True
8,lucas.harris8@hotmail.com,lucashar465,57f3ebab63f156fd8f776ba645a55d96360a15eeffc8b0e4afe4c05fa88219aa,Lucas,Harris,1977-04-18,Mexico,2023-01-08 18:54:13,True
9,nathan.hall9@gmail.com,nathanhal9,9323dd6786ebcbf3ac87357cc78ba1abfda6cf5e55cd01097b90d4a286cac90e,Nathan,Hall,1993-12-17,Portugal,2022-01-30 14:25:32,True
10,natasha.harris10@hotmail.com,natashahar_fan,aa4a9ea03fcac15b5fc63c949ac34e7b0fd17906716ac3b8e58c599cdc5a52f0,Natasha,Harris,1979-11-08,New Zealand,2022-10-04 12:16:23,True
11,avery.singh11@gmail.com,averysin825,53d453b0c08b6b38ae91515dc88d25fbecdd1d6001f022419629df844f8ba433,Avery,Singh,1987-12-30,Japan,2020-07-24 15:22:48,True
12,luke.wilson12@outlook.com,lukewil_music,b3d17ebbe4f2b75d27b6309cfaae1487b667301a73951e7d523a039cd2dfe110,Luke,Wilson,1976-05-29,Japan,2021-03-09 19:35:29,True
13,kenji.taylor13@icloud.com,kenjitay_fan,48caafb68583936afd0d78a7bfd7046d2492fad94f3c485915f74bb60128620d,Kenji,Taylor,1987-12-01,Mexico,2021-11-12 09:44:27,True
